"Country_Name","Market_Year","Domestic.Consumption","Population","Consumption.per.Capita","alpha.3"
"Algeria",2003,1805,32264157,0.0559444339425946,"DZA"
"Algeria",2004,1970,32692163,0.0602590902290558,"DZA"
"Algeria",2005,1930,33149724,0.0582206958947833,"DZA"
"Algeria",2006,2085,33641002,0.0619779398960828,"DZA"
"Algeria",2007,1840,34166972,0.0538531772730694,"DZA"
"Algeria",2008,2050,34730608,0.0590257446687947,"DZA"
"Algeria",2009,2070,35333881,0.0585839976084144,"DZA"
"Algeria",2010,2080,35977455,0.0578139837851232,"DZA"
"Algeria",2011,1815,36661444,0.0495070516044049,"DZA"
"Algeria",2012,2270,37383887,0.0607213476758048,"DZA"
"Algeria",2013,1945,38140132,0.0509961528187684,"DZA"
"Algeria",2014,2300,38923687,0.0590899829196551,"DZA"
"Algeria",2015,2195,39728025,0.0552506700244978,"DZA"
"Algeria",2016,2320,40551404,0.0572113360119418,"DZA"
"Algeria",2017,2205,41389198,0.0532747699049399,"DZA"
"Algeria",2018,2300,42228429,0.0544656776125865,"DZA"
"Angola",1961,60,5531472,0.0108470222754449,"AGO"
"Angola",1962,63,5608539,0.0112328718762587,"AGO"
"Angola",1963,64,5679458,0.0112686809199047,"AGO"
"Angola",1964,67,5735044,0.0116825607615216,"AGO"
"Angola",1965,70,5770570,0.0121305174358859,"AGO"
"Angola",1966,72,5781214,0.0124541316062682,"AGO"
"Angola",1967,75,5774243,0.0129887155770895,"AGO"
"Angola",1968,78,5771652,0.0135143283066962,"AGO"
"Angola",1969,81,5803254,0.0139576864979544,"AGO"
"Angola",1970,85,5890365,0.0144303451483906,"AGO"
"Angola",1971,89,6040777,0.0147332040232573,"AGO"
"Angola",1972,92,6248552,0.0147234111198883,"AGO"
"Angola",1973,97,6496962,0.0149300550010913,"AGO"
"Angola",1974,89,6761380,0.0131629933534278,"AGO"
"Angola",1975,73,7024000,0.0103929384965831,"AGO"
"Angola",1976,60,7279509,0.00824231414508863,"AGO"
"Angola",1977,52,7533735,0.0069022868470951,"AGO"
"Angola",1978,48,7790707,0.00616118665481836,"AGO"
"Angola",1979,45,8058067,0.00558446585266665,"AGO"
"Angola",1980,40,8341289,0.00479542190661419,"AGO"
"Angola",1981,41,8640446,0.00474512542523847,"AGO"
"Angola",1982,42,8952950,0.004691191171625,"AGO"
"Angola",1983,43,9278096,0.0046345715758923,"AGO"
"Angola",1984,44,9614754,0.00457630013206786,"AGO"
"Angola",1985,45,9961997,0.00451716658818508,"AGO"
"Angola",1986,46,10320111,0.00445731639901935,"AGO"
"Angola",1987,293,10689250,0.0274107163739271,"AGO"
